Gender,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,Would you say that you love America?,Have you ever gone hunting?,Have you ever eaten a kale salad?
Male,DK/REF,High school,Asian,Yes,Yes,Yes
Male,Approve,High school,White,Yes,Yes,No
Male,Disapprove,Graduate degree,Asian,Yes,No,No
DK/REF,DK/REF,Graduate degree,Asian,DK/REF,DK/REF,Yes
Female,Approve,College degree,White,Yes,Yes,Yes
Male,Approve,College degree,White,Yes,Yes,No
Male,DK/REF,College degree,Latino,Yes,Yes,DK/REF
Male,Disapprove,College degree,White,Yes,No,Yes
Male,Approve,High school,Latino,Yes,No,Yes
Male,DK/REF,Some college,White,No,No,Yes
Male,Approve,High school,White,Yes,Yes,No
Female,Disapprove,High school,Other,Yes,No,No
Female,Disapprove,High school,Black,Yes,No,No
Other,Approve,Some college,White,Yes,Yes,Yes
Male,Disapprove,Graduate degree,Black,Yes,Yes,No
Male,Disapprove,Graduate degree,Asian,Yes,Yes,No
Male,Disapprove,Some college,White,Yes,No,No
Other,Disapprove,Graduate degree,White,Yes,Yes,Yes
Female,Approve,Graduate degree,White,Yes,No,Yes
Female,DK/REF,Graduate degree,White,Yes,No,No
Female,DK/REF,Graduate degree,Latino,Yes,No,No
Male,Disapprove,College degree,Black,Yes,No,Yes
Male,Disapprove,High school,Latino,Yes,No,No
Male,DK/REF,Some college,White,Yes,Yes,No
Male,Approve,Some college,White,Yes,Yes,No
Female,Disapprove,College degree,White,Yes,No,No
Female,Approve,College degree,Asian,Yes,No,Yes
Male,Approve,College degree,Other,Yes,Yes,Yes
Other,Disapprove,College degree,Latino,Yes,Yes,Yes
Female,DK/REF,College degree,Black,Yes,Yes,No
Male,Disapprove,Some college,White,Yes,Yes,Yes
Male,Approve,College degree,White,Yes,Yes,Yes
Female,Disapprove,High school,White,Yes,No,No
Male,Disapprove,Graduate degree,Other,DK/REF,Yes,No
Male,Approve,College degree,Asian,Yes,Yes,Yes
Male,Disapprove,High school,Latino,Yes,No,No
